message,class
แมนฯซิตี้ งานเข้า จนได้เมื่อ เฟร์รัน ตอร์เรส ปีก ตัวเก่ง จะต้อง ร้างสนาม ไป ราว หกสัปดาห์ เนื่องจาก บาดเจ็บ มาจาก การ ลงเล่น ให้ ทีม ชาติสเปน,Yes
เชลซี จ่าฝูง พรีเมียร์ลีก เจอ ปัญหาใหญ่ ก่อน เกม พรีเมียร์ลีก เสาร์นี้ นัดบุก ไปเยือน เบรนท์ฟอร์ด เมื่อต้องรอ เช็ค ความฟิต ของ โรเมลู ลูกากู หัวหอกคนสำคัญ แถม รวมแล้ว อาจขาด นักเตะ ลงสนาม มากถึง หกราย ด้วย,Yes
ไม่ต้อง เสียเวลา เดา ฟาบินโญ่ กองกลาง ทีมชาติ บราซิล เปิดปาก แจงสื่อ แล้วว่า จะบินกลับไป ลงเล่น ให้ ลิเวอร์พูล พร้อม อลิสซง เบ็คเกอร์ นายทวาร ร่วมชาติ ฉะกับ วัตฟอร์ด ทันมั้ย หลัง จาก ต้อง ลงเล่นให้ แผ่นดินเกิด ในศึก ฟุตบอลโลก รอบคัดเลือก,Yes
 สกาย เบต บริษัท รับพนัน ที่ถูกกฎหมาย ของ ประเทศอังกฤษ ปรับราคาให้ แฟร้งค์ แลมพาร์ด อดีตผู้จัดการทีม เชลซี ขึ้นมาเป็นเต็ง 1 ที่จะได้ เข้ามา เป็น กุนซือ คนใหม่ ของ นิวคาสเซิ่ล ยูไนเต็ด แทน สตีฟ บรูซ ที่ใกล้ชะตาขาดเต็มที,Yes
ทีม พรีเมียร์ลีก ร่วมใจ ลงขัน เช่าเจ็ต ไปรับ 9 นักเตะ อเมริกาใต้ ในเกม บราซิล พบ อุรุกวัย เพื่อ อำนวย ความสะดวก และ รวดเร็ว,Yes
แฟนบอล เทใจ โหวต ให้ โม ซาลาห์ ดาวเตะ ลิเวอร์พูล ซิวแข้ง ยอดเยี่ยม พรีเมียร์ลีก เดือน กันยายน ของ พีเอฟเอ โดย เอาชนะ ทั้ง คริสเตียโน่ โรนัลโด้ อันโตนิโอ รือดิเกอร์ และ มิชาอิล อันโตนิโอ,Yes
คาด 11 ตัวจริง แมนฯ ยูไนเต็ด ในซีซั่นหน้า หากได้ 2 กองกลางเป้าหมาย หลังคู่หู เฟร็ด และ สกอตต์ แม็คโทมิเนย์ ทำ ผลงาน ร่วมกัน ไม่ถูกใจ แฟนบอล,Yes
จอห์น บาร์นส์ ระบุ ในมุมมองของตน ปอล ป็อกบา มีทัศนคติ ตอนเล่น ให้ แมนฯ ยูไนเต็ด แย่กว่า ตอนเล่น กับทีม ชาติฝรั่งเศส เพราะ ตอนรับใช้ บ้านเกิด เขาเล่น แบบเป็นทีม ได้ ขณะที่ ตอนอยู่กับ ต้นสังกัด กลับทำตัว เหมือน เป็น ซูเปอร์สตาร์ มากเกินไป,Yes
ด็อกเตอร์ ทอม เบสัน ผู้เชี่ยวชาญ ด้าน การเงิน ของ กีฬาฟุตบอล แสดงควาเห็นว่า นิวคาสเซิ่ล อาจจะมีหวัง ได้แชมป์ ภายในเวลา 10 ปี แต่ต้อง ภายใต้ เงื่อนไข ว่าพวกเขา ต้องวาง โครงสร้างต่างๆ ให้ ออกมา ดีด้วย โดย ยกกรณี ของ แมนฯ ซิตี้ กับ เชลซี มา เป็น ตัวอย่าง,Yes
เดวิด เบ็คแฮม อดีต ยอดแข้ง ของ แมนฯ ยูไนเต็ด ระบุ ตน ไม่เคยโกรธ เซอร์ อเล็กซ์ เฟอร์กูสัน จาก เหตุการณ์ ที่อีกฝ่าย เผลอ เตะ รองเท้าสตั๊ด มาโดนตน พร้อมยกย่อง เฟอร์กูสัน ว่าเป็น เหมือน พ่อ ที่ดีอยู่เสมอ,Yes
